freq,c_resid,nace_r2,month,unit,geo\TIME_PERIOD,2020,2021,2022,2023,2024
A,DOM,I551-I553,M12,NR,ITF6,37568.0,107242.0,60192.0,66665.0,76497.0
A,DOM,I551-I553,M12,NR,ITG1,101131.0,233975.0,287311.0,293265.0,283040.0
A,DOM,I551-I553,M12,NR,ITG2,51460.0,79148.0,91240.0,87755.0,102920.0
A,DOM,I551-I553,M12,NR,ITH1,79600.0,956734.0,1213699.0,1261699.0,1179606.0
A,DOM,I551-I553,M12,NR,ITH2,80491.0,876263.0,947970.0,1039449.0,1000837.0
A,DOM,I551-I553,M12,NR,ITH3,452095.0,911984.0,1089213.0,1193453.0,1135579.0
A,DOM,I551-I553,M12,NR,ITH4,72058.0,156523.0,204831.0,219635.0,228575.0
A,DOM,I551-I553,M12,NR,ITH5,395516.0,789394.0,842329.0,941096.0,966626.0
A,DOM,I551-I553,M12,NR,ITI1,242055.0,747800.0,824928.0,852042.0,756804.0
A,DOM,I551-I553,M12,NR,ITI2,55205.0,244949.0,287290.0,324702.0,314385.0
A,DOM,I551-I553,M12,NR,ITI3,150115.0,193783.0,260323.0,281780.0,311743.0
A,DOM,I551-I553,M12,NR,ITI4,263371.0,898348.0,1311038.0,1423363.0,1368171.0
A,DOM,I551-I553,TOTAL,NR,ITC1,4372061.0,5782004.0,7270164.0,7229845.0,7033710.0
A,DOM,I551-I553,TOTAL,NR,ITC2,1452461.0,1479842.0,2109248.0,2253209.0,2163362.0
A,DOM,I551-I553,TOTAL,NR,ITC3,6493583.0,7933782.0,8888698.0,8845282.0,8734589.0
A,DOM,I551-I553,TOTAL,NR,ITC4,8790626.0,13093377.0,16028865.0,15494685.0,15880818.0
A,DOM,I551-I553,TOTAL,NR,ITF1,3779939.0,4726288.0,5419540.0,5825896.0,6092117.0
A,DOM,I551-I553,TOTAL,NR,ITF2,317759.0,431573.0,376660.0,447289.0,413949.0
A,DOM,I551-I553,TOTAL,NR,ITF3,5973068.0,7965805.0,9312047.0,10093962.0,9727103.0
A,DOM,I551-I553,TOTAL,NR,ITF4,8940988.0,11577558.0,11738303.0,11714009.0,11862805.0
A,DOM,I551-I553,TOTAL,NR,ITF5,1308083.0,1669567.0,1900322.0,2109144.0,2063447.0
