freq,unit,sex,age,geo\TIME_PERIOD,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
A,NR,T,TOTAL,ITG1,4969910.0,4970805.0,4966799.0,,,,,,,,4994427.0,4978068.0,4967306.0,4965390.0,4977097.0,4985221.0,4991319.0,4995840.0,5015966.0,5031436.0,5044045.0,5059482.0,5061946.0,5053540.0,5041754.0,5028266.0,5004400.0,4977900.0,4942188.0,4908548.0,4875290.0,4833705.0,4833329.0,4814016.0,4797359.0,4787390.0
A,NR,T,TOTAL,ITG2,1637940.0,1644286.0,1647998.0,,,,,,,,1638573.0,1634795.0,1630004.0,1632083.0,1634673.0,1637508.0,1640194.0,1643052.0,1649058.0,1653129.0,1653711.0,1655833.0,1655079.0,1654583.0,1652528.0,1648642.0,1642492.0,1636839.0,1631040.0,1622257.0,1611621.0,1590044.0,1587413.0,1578146.0,1570453.0,1562381.0
A,NR,T,TOTAL,ITH1,437426.0,438916.0,440638.0,,,,,,,,458553.0,461101.0,462884.0,466605.0,470363.0,475176.0,480403.0,485196.0,491338.0,496079.0,500450.0,504406.0,507989.0,511619.0,515389.0,517994.0,520252.0,523454.0,526772.0,530313.0,532644.0,534912.0,532616.0,534147.0,537533.0,539679.0
A,NR,T,TOTAL,ITH2,445997.0,448280.0,449811.0,,,,,,,,470505.0,474310.0,476750.0,481750.0,488099.0,494740.0,499712.0,504098.0,510511.0,516859.0,521531.0,525833.0,529246.0,533435.0,536813.0,538188.0,539513.0,540280.0,541966.0,543721.0,545425.0,542166.0,540958.0,542996.0,545169.0,546573.0
A,NR,T,TOTAL,ITH3,4364265.0,4372865.0,4381146.0,,,,,,,,4485059.0,4508580.0,4527599.0,4562491.0,4622493.0,4674934.0,4709768.0,4739367.0,4796062.0,4844339.0,4863372.0,4879606.0,4887328.0,4901415.0,4905712.0,4902694.0,4890648.0,4883373.0,4880936.0,4884590.0,4879133.0,4869830.0,4847745.0,4849553.0,4852216.0,4853472.0
A,NR,T,TOTAL,ITH4,1200155.0,1198178.0,1196190.0,,,,,,,,1178264.0,1181238.0,1184713.0,1190100.0,1196333.0,1201350.0,1203848.0,1208130.0,1217059.0,1224653.0,1225910.0,1225361.0,1223642.0,1224987.0,1224984.0,1221664.0,1216208.0,1212809.0,1211155.0,1210414.0,1206216.0,1201510.0,1194647.0,1194248.0,1194616.0,1193284.0
A,NR,T,TOTAL,ITH5,,,,,,,,,,,,3983566.0,4003078.0,4034435.0,4080856.0,4129525.0,4162981.0,4194959.0,4246741.0,4305949.0,4340491.0,4371595.0,4391314.0,4415458.0,4432241.0,4434377.0,4435480.0,4439768.0,4445920.0,4459453.0,4464119.0,4438937.0,4425366.0,4437578.0,4451938.0,4461998.0
A,NR,T,TOTAL,ITI1,3533095.0,3531357.0,3526838.0,,,,,,,,3491580.0,3494857.0,3499109.0,3513273.0,3543673.0,3574966.0,3593492.0,3610980.0,3650182.0,3683362.0,3706592.0,3726263.0,3733535.0,3743537.0,3744293.0,3739044.0,3726422.0,3721391.0,3712048.0,3701343.0,3692555.0,3692865.0,3663191.0,3661981.0,3660530.0,3657716.0
A,NR,T,TOTAL,ITI2,809605.0,810623.0,811501.0,,,,,,,,820844.0,824187.0,826176.0,830936.0,841789.0,849774.0,855555.0,858807.0,870298.0,879640.0,884937.0,889450.0,890407.0,892742.0,892099.0,888288.0,884092.0,880992.0,876477.0,873744.0,870165.0,865452.0,858812.0,856407.0,853068.0,851473.0
A,NR,T,TOTAL,ITI3,,,,,,,,,,,,1446785.0,1453413.0,1464080.0,1481118.0,1493103.0,1501891.0,1507981.0,1525274.0,1541254.0,1546800.0,1549616.0,1550010.0,1551668.0,1549478.0,1545869.0,1538442.0,1532460.0,1526331.0,1520321.0,1512672.0,1498236.0,1487150.0,1484298.0,1482746.0,1480545.0
A,NR,T,TOTAL,ITI4,5115628.0,5130191.0,5142825.0,,,,,,,,5119323.0,5116344.0,5117783.0,5139164.0,5186338.0,5240603.0,5277353.0,5322929.0,5394010.0,5461999.0,5516026.0,5563046.0,5605706.0,5678764.0,5723955.0,5744899.0,5761508.0,5774092.0,5774606.0,5773076.0,5755700.0,5730399.0,5714882.0,5720536.0,5714745.0,5709178.0
