freq,unit,sex,age,icd10,geo\TIME_PERIOD,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
A,RT,F,TOTAL,B15-B19_B942,ITH3,4.15,3.08,3.3,3.41,3.33,3.18,3.15,2.16,2.65,1.89,1.37,2.15,1.18
A,RT,F,TOTAL,B15-B19_B942,ITH4,3.47,3.49,4.26,3.63,4.75,3.66,2.71,3.69,3.54,2.59,2.28,2.13,1.8
A,RT,F,TOTAL,B15-B19_B942,ITH5,5.78,5.72,5.18,4.75,4.32,5.06,4.85,3.76,3.58,3.2,1.81,2.3,2.38
A,RT,F,TOTAL,B15-B19_B942,ITI1,4.54,5.9,4.86,5.34,5.19,3.97,4.8,3.95,3.35,2.41,2.16,1.8,1.54
A,RT,F,TOTAL,B15-B19_B942,ITI2,4.32,4.34,4.96,2.79,3.87,3.24,2.82,4.83,0.89,1.11,2.02,3.39,1.13
A,RT,F,TOTAL,B15-B19_B942,ITI3,2.75,3.14,3.38,2.62,1.75,2.77,3.67,1.53,2.18,1.42,1.83,2.24,1.06
A,RT,F,TOTAL,B15-B19_B942,ITI4,3.71,3.51,3.74,2.89,3.38,3.25,2.49,2.09,1.91,1.65,1.66,1.59,1.09
A,RT,F,TOTAL,B180-B182,ITC1,3.29,3.54,3.65,4.15,3.99,3.88,3.19,2.64,1.89,2.04,1.55,1.97,1.61
A,RT,F,TOTAL,B180-B182,ITC2,1.54,,,1.52,1.53,,1.55,1.55,1.56,,,,
A,RT,F,TOTAL,B180-B182,ITC3,4.89,5.09,4.58,3.96,5.2,4.14,4.17,4.96,2.89,2.53,2.16,2.94,1.79
A,RT,F,TOTAL,B180-B182,ITC4,5.57,5.27,5.07,4.16,5.12,4.76,4.17,3.24,3.4,2.98,2.35,2.03,1.79
A,RT,F,TOTAL,B180-B182,ITF1,3.36,4.75,4.12,4.67,5.28,5.44,3.4,2.24,2.56,1.97,1.38,2.0,1.23
A,RT,F,TOTAL,B180-B182,ITF2,4.96,4.36,2.49,4.36,3.14,9.48,1.27,2.58,1.96,1.99,5.38,,1.37
A,RT,F,TOTAL,B180-B182,ITF3,6.67,6.53,6.24,6.2,6.88,6.0,4.75,3.64,3.41,3.58,2.5,2.99,2.83
A,RT,F,TOTAL,B180-B182,ITF4,6.06,6.66,4.67,6.22,5.61,5.92,4.22,4.8,3.88,4.3,2.63,3.29,2.9
A,RT,F,TOTAL,B180-B182,ITF5,9.45,9.17,5.09,4.41,7.85,8.58,6.92,4.19,1.42,4.3,2.17,3.66,2.95
A,RT,F,TOTAL,B180-B182,ITF6,4.16,3.88,4.76,6.32,3.96,4.88,5.1,3.75,2.16,2.5,2.21,2.12,2.55
A,RT,F,TOTAL,B180-B182,ITG1,5.82,4.88,4.61,5.23,4.36,4.38,4.33,3.49,3.06,3.17,1.85,1.98,1.87
A,RT,F,TOTAL,B180-B182,ITG2,6.15,4.18,7.7,4.83,5.32,4.98,5.12,5.17,3.16,2.82,2.59,2.36,2.99
A,RT,F,TOTAL,B180-B182,ITH1,0.39,1.94,0.38,0.76,0.38,1.51,,1.5,0.74,0.37,0.37,0.37,0.37
A,RT,F,TOTAL,B180-B182,ITH2,2.59,6.66,2.93,2.55,4.37,2.18,2.91,1.81,2.53,1.45,1.82,0.36,0.36
A,RT,F,TOTAL,B180-B182,ITH3,3.71,2.84,2.9,3.13,3.01,3.1,3.03,2.04,2.57,1.77,1.25,1.99,1.05
A,RT,F,TOTAL,B180-B182,ITH4,3.16,3.49,3.32,3.47,4.12,3.18,2.39,3.37,3.38,2.59,2.12,1.8,1.64
A,RT,F,TOTAL,B180-B182,ITH5,5.43,5.5,5.01,4.49,3.97,4.76,4.63,3.54,3.49,3.02,1.68,2.03,2.25
A,RT,F,TOTAL,B180-B182,ITI1,4.23,5.12,4.55,5.03,4.88,3.81,4.29,3.74,3.19,2.31,2.16,1.7,1.33
A,RT,F,TOTAL,B180-B182,ITI2,4.1,3.69,4.31,2.79,3.87,2.59,2.61,4.39,0.66,1.11,2.02,3.16,1.13
A,RT,F,TOTAL,B180-B182,ITI3,2.38,2.51,3.0,2.62,1.5,2.27,3.29,1.4,2.05,1.29,1.57,2.1,0.92
A,RT,F,TOTAL,B180-B182,ITI4,3.58,3.27,3.34,2.5,3.05,2.95,2.16,1.99,1.81,1.58,1.59,1.49,1.02
A,RT,F,TOTAL,B20-B24,ITC1,0.74,0.49,0.53,0.57,0.66,0.4,0.44,0.13,0.5,0.32,0.27,0.18,0.09
A,RT,F,TOTAL,B20-B24,ITC2,,1.53,,1.52,,,,,,,,1.59,1.6
A,RT,F,TOTAL,B20-B24,ITC3,0.95,2.18,0.96,0.84,0.73,0.49,0.61,0.37,0.13,0.13,0.51,0.51,
A,RT,F,TOTAL,B20-B24,ITC4,0.9,0.78,0.63,0.7,0.61,0.39,0.62,0.47,0.35,0.33,0.41,0.34,0.39
A,RT,F,TOTAL,B20-B24,ITF1,0.29,0.45,0.44,0.58,0.29,,0.15,0.15,0.15,0.3,,0.15,
A,RT,F,TOTAL,B20-B24,ITF2,,,0.62,0.62,0.63,,,,,,,,
A,RT,F,TOTAL,B20-B24,ITF3,0.27,0.3,0.3,0.23,0.43,0.2,0.3,0.07,0.17,0.24,0.21,0.07,0.07
A,RT,F,TOTAL,B20-B24,ITF4,0.14,0.48,0.14,0.28,0.48,0.43,0.14,0.34,0.1,0.4,0.1,0.1,0.25
A,RT,F,TOTAL,B20-B24,ITF5,0.34,1.02,,,,,0.35,,0.71,0.36,,,
A,RT,F,TOTAL,B20-B24,ITF6,0.49,0.4,,0.1,0.1,0.1,,,,0.21,0.11,,0.32
A,RT,F,TOTAL,B20-B24,ITG1,0.46,0.46,0.35,0.23,0.23,0.23,0.42,0.31,0.16,0.12,0.24,0.16,0.45
A,RT,F,TOTAL,B20-B24,ITG2,0.59,0.48,0.83,0.35,0.94,0.36,0.6,0.12,0.36,0.49,0.49,0.25,0.62
A,RT,F,TOTAL,B20-B24,ITH1,0.78,0.39,,0.38,,,,0.37,,,,,0.37
